numberOfAnimals,numberOfFlora,numberOfFreeFields,mostPopularGenotype,averageEnergy,averageLifespan
5,5,395,07225,55.0,NaN
5,5,395,07225,54.8,NaN
5,5,395,07225,54.6,NaN
5,5,395,07225,54.4,NaN
5,5,395,07225,54.2,NaN
5,10,395,07225,54.0,NaN
5,10,395,07225,53.8,NaN
5,10,395,07225,53.6,NaN
5,10,395,07225,53.4,NaN
5,10,395,07225,53.2,NaN
5,14,395,07225,54.0,NaN
5,14,395,07225,53.8,NaN
5,14,395,07225,53.6,NaN
5,14,395,07225,53.4,NaN
5,14,395,07225,53.2,NaN
5,19,395,07225,53.0,NaN
5,19,395,07225,52.8,NaN
5,19,395,07225,52.6,NaN
5,19,395,07225,52.4,NaN
5,19,395,07225,52.2,NaN
5,24,395,07225,52.0,NaN
5,24,395,07225,51.8,NaN
5,24,395,07225,51.6,NaN
5,24,395,07225,51.4,NaN
5,24,395,07225,51.2,NaN
5,29,395,07225,51.0,NaN
5,29,395,07225,50.8,NaN
5,29,395,07225,50.6,NaN
5,29,395,07225,50.4,NaN
5,29,395,07225,50.2,NaN
5,34,395,07225,50.0,NaN
5,34,395,07225,49.8,NaN
5,34,395,07225,49.6,NaN
5,34,395,07225,49.4,NaN
5,34,395,07225,49.2,NaN
5,38,395,07225,50.0,NaN
5,38,395,07225,49.8,NaN
5,38,395,07225,49.6,NaN
5,38,395,07225,49.4,NaN
5,38,395,07225,49.2,NaN
5,43,395,07225,49.0,NaN
5,43,395,07225,48.8,NaN
5,43,395,07225,48.6,NaN
5,43,395,07225,48.4,NaN
5,43,395,07225,48.2,NaN
5,48,395,07225,48.0,NaN
5,48,395,07225,47.8,NaN
5,48,395,07225,47.6,NaN
5,48,395,07225,47.4,NaN
5,48,395,07225,47.2,NaN
5,53,395,07225,47.0,NaN
5,53,395,07225,46.8,NaN
5,53,395,07225,46.6,NaN
5,53,395,07225,46.4,NaN
5,53,395,07225,46.2,NaN
5,58,395,07225,46.0,NaN
5,58,395,07225,45.8,NaN
5,58,395,07225,45.6,NaN
5,58,395,07225,45.4,NaN
5,58,395,07225,45.2,NaN
5,63,395,07225,45.0,NaN
5,63,395,07225,44.8,NaN
5,63,395,07225,44.6,NaN
5,63,395,07225,44.4,NaN
5,63,395,07225,44.2,NaN
5,68,395,07225,44.0,NaN
5,68,395,07225,43.8,NaN
5,68,395,07225,43.6,NaN
5,68,395,07225,43.4,NaN
5,68,395,07225,43.2,NaN
5,73,395,07225,43.0,NaN
5,73,395,07225,42.8,NaN
5,73,395,07225,42.6,NaN
5,73,395,07225,42.4,NaN
5,73,395,07225,42.2,NaN
5,77,395,07225,43.0,NaN
5,77,395,07225,42.8,NaN
5,77,395,07225,42.6,NaN
5,77,395,07225,42.4,NaN
5,77,395,07225,42.2,NaN
5,81,395,07225,43.0,NaN
5,81,395,07225,42.8,NaN
5,81,395,07225,42.6,NaN
5,81,395,07225,42.4,NaN
5,81,395,07225,42.2,NaN
5,84,395,07225,44.0,NaN
5,84,395,07225,43.8,NaN
5,84,395,07225,43.6,NaN
5,84,395,07225,43.4,NaN
5,84,395,07225,43.2,NaN
5,89,395,07225,43.0,NaN
5,89,395,07225,42.8,NaN
5,89,395,07225,42.6,NaN
5,89,395,07225,42.4,NaN
5,89,395,07225,42.2,NaN
5,93,395,07225,43.0,NaN
5,93,395,07225,42.8,NaN
5,93,395,07225,42.6,NaN
5,93,395,07225,42.4,NaN
5,93,395,07225,42.2,NaN
5,98,395,07225,42.0,NaN
5,98,395,07225,41.8,NaN
5,98,395,07225,41.6,NaN
5,98,395,07225,41.4,NaN
5,98,395,07225,41.2,NaN
5,102,395,07225,42.0,NaN
5,102,395,07225,41.8,NaN
5,102,395,07225,41.6,NaN
5,102,395,07225,41.4,NaN
5,102,395,07225,41.2,NaN
5,105,395,07225,43.0,NaN
5,105,395,07225,42.8,NaN
5,105,395,07225,42.6,NaN
5,105,395,07225,42.4,NaN
5,105,395,07225,42.2,NaN
5,109,395,07225,43.0,NaN
5,109,395,07225,42.8,NaN
5,109,395,07225,42.6,NaN
5,109,395,07225,42.4,NaN
5,109,396,07225,42.2,NaN
6,112,396,07225,36.666668,NaN
6,112,396,07225,36.5,NaN
6,112,395,07225,36.333332,NaN
6,112,395,07225,36.166668,NaN
6,112,394,07225,36.0,NaN
6,115,394,07225,37.333332,NaN
6,115,394,07225,37.166668,NaN
6,115,394,07225,37.0,NaN
6,115,394,07225,36.833332,NaN
6,115,394,07225,36.666668,NaN
6,119,394,07225,37.166668,NaN
6,119,394,07225,37.0,NaN
6,119,394,07225,36.833332,NaN
6,119,394,07225,36.666668,NaN
6,119,394,07225,36.5,NaN
6,123,394,07225,37.0,NaN
6,123,394,07225,36.833332,NaN
6,123,394,07225,36.666668,NaN
6,123,394,07225,36.5,NaN
6,123,394,07225,36.333332,NaN
6,127,394,07225,36.833332,NaN
6,127,394,07225,36.666668,NaN
6,127,394,07225,36.5,NaN
6,127,394,07225,36.333332,NaN
6,127,394,07225,36.166668,NaN
6,131,394,07225,36.666668,NaN
6,131,394,07225,36.5,NaN
6,131,394,07225,36.333332,NaN
6,131,394,07225,36.166668,NaN
6,131,394,07225,36.0,NaN
6,133,394,07225,38.166668,NaN
6,133,394,07225,38.0,NaN
6,133,394,07225,37.833332,NaN
6,133,394,07225,37.666668,NaN
6,133,394,07225,37.5,NaN
7,138,395,07225,31.857143,NaN
7,138,395,07225,31.714285,NaN
7,138,395,07225,31.571428,NaN
7,138,395,07225,31.428572,NaN
7,138,394,07225,31.285715,NaN
7,141,393,07225,32.285713,NaN
7,141,393,07225,32.142857,NaN
7,141,393,07225,32.0,NaN
7,141,393,07225,31.857143,NaN
7,141,393,07225,31.714285,NaN
7,145,393,07225,32.0,NaN
7,145,393,07225,31.857143,NaN
7,145,393,07225,31.714285,NaN
7,145,393,07225,31.571428,NaN
7,145,393,07225,31.428572,NaN
7,149,393,07225,31.714285,NaN
7,149,393,07225,31.571428,NaN
7,149,393,07225,31.428572,NaN
7,149,393,07225,31.285715,NaN
7,149,393,07225,31.142857,NaN
7,152,393,07225,32.142857,NaN
7,152,393,07225,32.0,NaN
7,152,393,07225,31.857143,NaN
7,152,393,07225,31.714285,NaN
7,152,393,07225,31.571428,NaN
7,156,393,07225,31.857143,NaN
7,156,393,07225,31.714285,NaN
7,156,393,07225,31.571428,NaN
7,156,393,07225,31.428572,NaN
7,156,393,07225,31.285715,NaN
7,158,393,07225,33.0,NaN
7,158,393,07225,32.857143,NaN
7,158,393,07225,32.714287,NaN
7,158,393,07225,32.57143,NaN
7,158,393,07225,32.42857,NaN
5,5,395,54775,55.0,NaN
5,5,395,54775,54.8,NaN
5,5,395,54775,54.6,NaN
5,5,395,54775,54.4,NaN
5,5,395,54775,54.2,NaN
5,10,395,54775,54.0,NaN
5,10,395,54775,53.8,NaN
5,10,395,54775,53.6,NaN
5,10,395,54775,53.4,NaN
5,10,395,54775,53.2,NaN
5,15,395,54775,53.0,NaN
5,15,395,54775,52.8,NaN
5,15,395,54775,52.6,NaN
5,15,395,54775,52.4,NaN
5,15,395,54775,52.2,NaN
5,20,395,54775,52.0,NaN
5,20,395,54775,51.8,NaN
5,20,395,54775,51.6,NaN
5,20,395,54775,51.4,NaN
5,20,395,54775,51.2,NaN
5,25,395,54775,51.0,NaN
5,25,395,54775,50.8,NaN
5,25,395,54775,50.6,NaN
5,25,395,54775,50.4,NaN
5,25,395,54775,50.2,NaN
5,30,395,54775,50.0,NaN
5,30,395,54775,49.8,NaN
5,30,395,54775,49.6,NaN
5,30,395,54775,49.4,NaN
5,30,395,54775,49.2,NaN
5,34,395,54775,50.0,NaN
5,34,395,54775,49.8,NaN
5,34,395,54775,49.6,NaN
5,34,395,54775,49.4,NaN
5,34,395,54775,49.2,NaN
5,39,395,54775,49.0,NaN
5,39,395,54775,48.8,NaN
5,39,395,54775,48.6,NaN
5,39,395,54775,48.4,NaN
5,39,395,54775,48.2,NaN
5,43,395,54775,49.0,NaN
5,43,395,54775,48.8,NaN
5,43,395,54775,48.6,NaN
5,43,395,54775,48.4,NaN
5,43,395,54775,48.2,NaN
5,48,395,54775,48.0,NaN
5,48,395,54775,47.8,NaN
5,48,395,54775,47.6,NaN
5,48,395,54775,47.4,NaN
5,48,395,54775,47.2,NaN
5,53,395,54775,47.0,NaN
5,53,395,54775,46.8,NaN
5,53,395,54775,46.6,NaN
5,53,395,54775,46.4,NaN
5,53,395,54775,46.2,NaN
5,57,395,54775,47.0,NaN
5,57,395,54775,46.8,NaN
5,57,395,54775,46.6,NaN
5,57,395,54775,46.4,NaN
5,57,395,54775,46.2,NaN
5,62,395,54775,46.0,NaN
5,62,395,54775,45.8,NaN
5,62,395,54775,45.6,NaN
5,62,395,54775,45.4,NaN
5,62,395,54775,45.2,NaN
5,67,395,54775,45.0,NaN
5,67,395,54775,44.8,NaN
5,67,395,54775,44.6,NaN
5,67,395,54775,44.4,NaN
5,67,395,54775,44.2,NaN
